Bacteria	Comparison	p value	mean.diff	FDR
s__Bifidobacterium_dentium	<= 34 vs > 34	2,78E-01	-5,84E-02	4,71E-01
s__Prevotella_colorans	<= 25 vs > 25	2,78E-01	1,11E-01	4,71E-01
s__Lactobacillus_jensenii	<= 21 vs > 21	2,78E-01	-2,48E-01	4,71E-01
s__Lactobacillus_iners	<= 20 vs > 20	2,81E-01	-1,91E-01	4,75E-01
s__Gardnerella_vaginalis	<= 24 vs > 24	2,83E-01	1,29E-01	4,77E-01
g__Shuttleworthia	<= 32 vs > 32	2,84E-01	5,94E-02	4,77E-01
s__Prevotella_amnii	<= 51 vs > 51	2,86E-01	6,22E-01	4,79E-01
s__Dialister_micraerophilus	<= 37 vs > 37	2,86E-01	8,34E-02	4,79E-01
f__Enterobacteriaceae	<= 35 vs > 35	2,86E-01	6,54E-02	4,79E-01
f__Enterobacteriaceae	<= 39 vs > 39	2,86E-01	6,93E-02	4,79E-01
g__Shuttleworthia	<= 21 vs > 21	2,87E-01	-2,45E-01	4,79E-01
s__Lactobacillus_vaginalis	<= 36 vs > 36	2,88E-01	8,83E-02	4,80E-01
s__Veillonella_montpellierensis	<= 49 vs > 49	2,88E-01	2,22E-01	4,80E-01
s__Bifidobacterium_breve	<= 33 vs > 33	2,90E-01	7,36E-02	4,81E-01
s__Lactobacillus_vaginalis	<= 26 vs > 26	2,94E-01	1,44E-01	4,87E-01
s__Allisonella_histaminiformans	<= 30 vs > 30	2,94E-01	9,36E-02	4,87E-01
s__Fusobacterium_nucleatum	<= 40 vs > 40	2,97E-01	5,29E-02	4,90E-01
s__Sneathia_amnii	<= 24 vs > 24	3,01E-01	1,89E-01	4,97E-01
s__Bifidobacterium_dentium	<= 50 vs > 50	3,03E-01	3,08E-01	4,98E-01
s__Anaerococcus_tetradius	<= 29 vs > 29	3,03E-01	-8,81E-02	4,99E-01
s__Lactobacillus_vaginalis	<= 51 vs > 51	3,06E-01	-5,40E-01	5,03E-01
s__Veillonella_montpellierensis	<= 44 vs > 44	3,08E-01	9,01E-02	5,05E-01
s__Anaerococcus_tetradius	<= 30 vs > 30	3,09E-01	-8,06E-02	5,05E-01
s__Prevotella_colorans	<= 50 vs > 50	3,09E-01	3,09E-01	5,05E-01
s__Prevotella_bivia	<= 52 vs > 52	3,17E-01	8,17E-01	5,17E-01
s__Aerococcus_christensenii	<= 31 vs > 31	3,19E-01	-8,33E-02	5,20E-01
s__Allisonella_histaminiformans	<= 24 vs > 24	3,20E-01	1,56E-01	5,20E-01
s__Streptococcus_anginosus	<= 22 vs > 22	3,23E-01	1,71E-01	5,22E-01
s__Finegoldia_magna	<= 50 vs > 50	3,23E-01	3,04E-01	5,22E-01
s__Veillonella_montpellierensis	<= 23 vs > 23	3,23E-01	1,48E-01	5,22E-01
s__Ureaplasma_parvum	<= 21 vs > 21	3,22E-01	2,75E-01	5,22E-01
s__Dialister_micraerophilus	<= 38 vs > 38	3,24E-01	7,85E-02	5,23E-01
s__Lactobacillus_vaginalis	<= 50 vs > 50	3,27E-01	-3,85E-01	5,26E-01
s__Dialister_micraerophilus	<= 51 vs > 51	3,26E-01	5,48E-01	5,26E-01
s__Sneathia_amnii	<= 36 vs > 36	3,27E-01	8,43E-02	5,26E-01
s__Lactobacillus_gasseri	<= 20 vs > 20	3,30E-01	-3,40E-01	5,29E-01
s__Veillonella_montpellierensis	<= 20 vs > 20	3,33E-01	2,72E-01	5,33E-01
s__Atopobium_vaginae	<= 21 vs > 21	3,34E-01	2,34E-01	5,34E-01
s__Veillonella_montpellierensis	<= 30 vs > 30	3,34E-01	6,81E-02	5,34E-01
f__Enterobacteriaceae	<= 36 vs > 36	3,36E-01	5,90E-02	5,35E-01
f__Enterobacteriaceae	<= 37 vs > 37	3,36E-01	5,96E-02	5,35E-01
s__Prevotella_amnii	<= 24 vs > 24	3,43E-01	1,70E-01	5,44E-01
s__Lactobacillus_iners	<= 40 vs > 40	3,44E-01	-3,75E-02	5,45E-01
s__Allisonella_histaminiformans	<= 29 vs > 29	3,45E-01	9,04E-02	5,46E-01
s__Megasphaera_hutchinsoni	<= 23 vs > 23	3,48E-01	1,78E-01	5,50E-01
s__Lactobacillus_iners	<= 24 vs > 24	3,50E-01	-6,92E-02	5,52E-01
s__Fusobacterium_nucleatum	<= 34 vs > 34	3,51E-01	4,17E-02	5,53E-01
s__Streptococcus_anginosus	<= 26 vs > 26	3,52E-01	8,85E-02	5,54E-01
s__Aerococcus_christensenii	<= 40 vs > 40	3,57E-01	7,71E-02	5,62E-01
s__Allisonella_histaminiformans	<= 25 vs > 25	3,60E-01	1,28E-01	5,66E-01
s__Tissierellia_bacterium	<= 22 vs > 22	3,62E-01	2,12E-01	5,66E-01
s__Prevotella_timonensis	<= 52 vs > 52	3,62E-01	6,88E-01	5,67E-01
s__Megasphaera_hutchinsoni	<= 21 vs > 21	3,63E-01	2,56E-01	5,68E-01
s__Lactobacillus_iners	<= 44 vs > 44	3,64E-01	-4,64E-02	5,68E-01
s__Streptococcus_anginosus	<= 25 vs > 25	3,66E-01	9,66E-02	5,70E-01
s__Finegoldia_magna	<= 51 vs > 51	3,68E-01	-2,85E-01	5,72E-01
s__Anaerococcus_tetradius	<= 28 vs > 28	3,68E-01	-8,33E-02	5,72E-01
s__Lactobacillus_crispatus	<= 33 vs > 33	3,69E-01	-3,90E-02	5,72E-01
s__Sneathia_sanguinegens	<= 24 vs > 24	3,70E-01	1,62E-01	5,72E-01
s__Megasphaera_lornae	<= 23 vs > 23	3,72E-01	1,98E-01	5,74E-01
s__Finegoldia_magna	<= 48 vs > 48	3,73E-01	-1,04E-01	5,75E-01
g__Shuttleworthia	<= 27 vs > 27	3,75E-01	6,72E-02	5,77E-01
f__Enterobacteriaceae	<= 40 vs > 40	3,76E-01	5,97E-02	5,78E-01
s__Lactobacillus_crispatus	<= 37 vs > 37	3,77E-01	-3,76E-02	5,79E-01
s__Allisonella_histaminiformans	<= 20 vs > 20	3,81E-01	-3,15E-01	5,85E-01
s__Bifidobacterium_dentium	<= 35 vs > 35	3,87E-01	-4,60E-02	5,93E-01
s__Bifidobacterium_breve	<= 31 vs > 31	3,95E-01	6,34E-02	6,02E-01
s__Lactobacillus_jensenii	<= 28 vs > 28	3,95E-01	-7,74E-02	6,02E-01
s__Allisonella_histaminiformans	<= 22 vs > 22	3,94E-01	-2,05E-01	6,02E-01
g__Shuttleworthia	<= 26 vs > 26	3,96E-01	7,12E-02	6,02E-01
s__Veillonella_montpellierensis	<= 22 vs > 22	3,96E-01	1,58E-01	6,02E-01
s__Fusobacterium_nucleatum	<= 37 vs > 37	3,99E-01	3,85E-02	6,05E-01
s__Lactobacillus_vaginalis	<= 46 vs > 46	4,01E-01	-1,12E-01	6,07E-01
s__Lactobacillus_jensenii	<= 22 vs > 22	4,02E-01	-1,56E-01	6,08E-01
s__Lactobacillus_gasseri	<= 50 vs > 50	4,08E-01	-3,20E-01	6,16E-01
s__Finegoldia_magna	<= 22 vs > 22	4,10E-01	1,21E-01	6,18E-01
f__Enterobacteriaceae	<= 52 vs > 52	4,10E-01	5,45E-01	6,18E-01
s__Tissierellia_bacterium	<= 52 vs > 52	4,12E-01	6,17E-01	6,20E-01
s__Sneathia_sanguinegens	<= 49 vs > 49	4,13E-01	2,30E-01	6,20E-01
s__Anaerococcus_tetradius	<= 33 vs > 33	4,14E-01	5,54E-02	6,20E-01
s__Veillonella_montpellierensis	<= 28 vs > 28	4,14E-01	6,63E-02	6,20E-01
s__Lactobacillus_iners	<= 36 vs > 36	4,16E-01	-2,90E-02	6,21E-01
s__Megasphaera_hutchinsoni	<= 22 vs > 22	4,16E-01	1,90E-01	6,21E-01
s__Finegoldia_magna	<= 28 vs > 28	4,20E-01	5,45E-02	6,27E-01
s__Bifidobacterium_breve	<= 39 vs > 39	4,22E-01	-5,65E-02	6,28E-01
s__Coriobacteriales_bacterium	<= 51 vs > 51	4,23E-01	4,49E-01	6,28E-01
f__Enterobacteriaceae	<= 50 vs > 50	4,27E-01	2,52E-01	6,34E-01
s__Veillonella_montpellierensis	<= 27 vs > 27	4,29E-01	7,04E-02	6,36E-01
s__Atopobium_vaginae	<= 29 vs > 29	4,30E-01	5,63E-02	6,37E-01
s__Sneathia_amnii	<= 25 vs > 25	4,31E-01	1,26E-01	6,37E-01
s__Anaerococcus_tetradius	<= 49 vs > 49	4,33E-01	1,72E-01	6,40E-01
s__Prevotella_colorans	<= 22 vs > 22	4,35E-01	-1,45E-01	6,40E-01
s__Dialister_micraerophilus	<= 20 vs > 20	4,35E-01	-2,80E-01	6,40E-01
s__Dialister_micraerophilus	<= 24 vs > 24	4,37E-01	1,26E-01	6,43E-01
s__Streptococcus_anginosus	<= 47 vs > 47	4,40E-01	-8,29E-02	6,45E-01
s__Veillonella_montpellierensis	<= 52 vs > 52	4,41E-01	5,71E-01	6,46E-01
s__Tissierellia_bacterium	<= 50 vs > 50	4,51E-01	2,98E-01	6,60E-01
s__Lactobacillus_iners	<= 41 vs > 41	4,58E-01	-3,09E-02	6,68E-01
s__Sneathia_sanguinegens	<= 31 vs > 31	4,58E-01	7,06E-02	6,68E-01
f__Enterobacteriaceae	<= 34 vs > 34	4,58E-01	4,60E-02	6,68E-01
s__Lactobacillus_gasseri	<= 31 vs > 31	4,63E-01	-6,97E-02	6,73E-01
s__Fusobacterium_nucleatum	<= 33 vs > 33	4,63E-01	3,33E-02	6,73E-01
s__Lactobacillus_iners	<= 27 vs > 27	4,64E-01	-3,79E-02	6,73E-01
f__Enterobacteriaceae	<= 27 vs > 27	4,66E-01	-7,00E-02	6,76E-01
s__Prevotella_amnii	<= 21 vs > 21	4,67E-01	-2,26E-01	6,76E-01
s__Finegoldia_magna	<= 52 vs > 52	4,68E-01	-3,46E-01	6,76E-01
s__Anaerococcus_tetradius	<= 32 vs > 32	4,69E-01	5,06E-02	6,77E-01
s__Lactobacillus_iners	<= 48 vs > 48	4,72E-01	-5,91E-02	6,79E-01
s__Anaerococcus_tetradius	<= 48 vs > 48	4,72E-01	1,13E-01	6,79E-01
s__Fusobacterium_nucleatum	<= 38 vs > 38	4,75E-01	3,33E-02	6,82E-01
s__Finegoldia_magna	<= 44 vs > 44	4,76E-01	-4,92E-02	6,83E-01
s__Lactobacillus_vaginalis	<= 35 vs > 35	4,78E-01	5,90E-02	6,85E-01
s__Gardnerella_vaginalis	<= 23 vs > 23	4,80E-01	1,08E-01	6,85E-01
s__Prevotella_timonensis	<= 30 vs > 30	4,80E-01	6,78E-02	6,85E-01
s__Lactobacillus_crispatus	<= 31 vs > 31	4,81E-01	-3,31E-02	6,85E-01
s__Sneathia_amnii	<= 50 vs > 50	4,79E-01	3,16E-01	6,85E-01
s__Prevotella_bivia	<= 31 vs > 31	4,84E-01	-6,03E-02	6,87E-01
s__Lactobacillus_jensenii	<= 24 vs > 24	4,84E-01	-9,93E-02	6,87E-01
s__Dialister_micraerophilus	<= 52 vs > 52	4,84E-01	5,84E-01	6,87E-01
s__Bifidobacterium_dentium	<= 36 vs > 36	4,87E-01	-3,70E-02	6,90E-01
s__Lactobacillus_vaginalis	<= 40 vs > 40	4,88E-01	-6,31E-02	6,90E-01
s__Bifidobacterium_breve	<= 30 vs > 30	4,91E-01	5,47E-02	6,92E-01
s__Megasphaera_hutchinsoni	<= 51 vs > 51	4,90E-01	3,87E-01	6,92E-01
s__Bifidobacterium_dentium	<= 38 vs > 38	4,97E-01	3,73E-02	6,97E-01
s__Aerococcus_christensenii	<= 27 vs > 27	4,99E-01	-7,75E-02	6,97E-01
s__Lactobacillus_crispatus	<= 32 vs > 32	4,98E-01	-3,05E-02	6,97E-01
s__Lactobacillus_crispatus	<= 34 vs > 34	4,99E-01	-2,87E-02	6,97E-01
s__Lactobacillus_jensenii	<= 32 vs > 32	4,97E-01	4,93E-02	6,97E-01
s__Sneathia_amnii	<= 28 vs > 28	4,97E-01	-7,92E-02	6,97E-01
f__Enterobacteriaceae	<= 22 vs > 22	4,98E-01	-1,45E-01	6,97E-01
s__Bifidobacterium_dentium	<= 23 vs > 23	5,03E-01	8,89E-02	7,00E-01
s__Lactobacillus_vaginalis	<= 47 vs > 47	5,02E-01	1,04E-01	7,00E-01
s__Finegoldia_magna	<= 43 vs > 43	5,02E-01	-4,36E-02	7,00E-01
s__Fusobacterium_nucleatum	<= 52 vs > 52	5,04E-01	-2,07E-01	7,00E-01
s__Lactobacillus_iners	<= 50 vs > 50	5,08E-01	-1,11E-01	7,05E-01
s__Bifidobacterium_dentium	<= 39 vs > 39	5,10E-01	-3,70E-02	7,06E-01
s__Gardnerella_vaginalis	<= 34 vs > 34	5,13E-01	3,34E-02	7,10E-01
f__Enterobacteriaceae	<= 26 vs > 26	5,17E-01	-6,91E-02	7,14E-01
s__Prevotella_amnii	<= 52 vs > 52	5,18E-01	5,53E-01	7,15E-01
s__Mageeibacillus_indolicus	<= 52 vs > 52	5,19E-01	4,75E-01	7,15E-01
s__Bifidobacterium_dentium	<= 21 vs > 21	5,20E-01	1,26E-01	7,16E-01
s__Lactobacillus_iners	<= 42 vs > 42	5,22E-01	-2,84E-02	7,18E-01
s__Ureaplasma_parvum	<= 20 vs > 20	5,27E-01	2,16E-01	7,24E-01
g__Shuttleworthia	<= 20 vs > 20	5,28E-01	-1,81E-01	7,24E-01
s__Bifidobacterium_dentium	<= 28 vs > 28	5,30E-01	4,44E-02	7,25E-01
s__Lactobacillus_iners	<= 43 vs > 43	5,30E-01	-2,99E-02	7,25E-01
s__Anaerococcus_tetradius	<= 23 vs > 23	5,34E-01	-1,09E-01	7,29E-01
s__Dialister_micraerophilus	<= 23 vs > 23	5,35E-01	1,22E-01	7,29E-01
f__Enterobacteriaceae	<= 29 vs > 29	5,34E-01	-4,97E-02	7,29E-01
s__Lactobacillus_vaginalis	<= 29 vs > 29	5,40E-01	6,52E-02	7,34E-01
s__Bifidobacterium_breve	<= 36 vs > 36	5,43E-01	4,10E-02	7,38E-01
s__Prevotella_bivia	<= 33 vs > 33	5,44E-01	-4,85E-02	7,38E-01
s__Prevotella_timonensis	<= 26 vs > 26	5,44E-01	8,13E-02	7,38E-01
s__Aerococcus_christensenii	<= 34 vs > 34	5,47E-01	-4,62E-02	7,39E-01
s__Lactobacillus_gasseri	<= 23 vs > 23	5,47E-01	-1,31E-01	7,39E-01
s__Lactobacillus_gasseri	<= 52 vs > 52	5,48E-01	-4,78E-01	7,40E-01
s__Megasphaera_lornae	<= 51 vs > 51	5,50E-01	3,65E-01	7,41E-01
s__Sneathia_sanguinegens	<= 20 vs > 20	5,51E-01	-2,49E-01	7,41E-01
s__Tissierellia_bacterium	<= 21 vs > 21	5,53E-01	1,69E-01	7,43E-01
s__Lactobacillus_crispatus	<= 21 vs > 21	5,53E-01	-9,78E-02	7,43E-01
f__Enterobacteriaceae	<= 38 vs > 38	5,56E-01	3,70E-02	7,45E-01
s__Bifidobacterium_dentium	<= 25 vs > 25	5,62E-01	5,60E-02	7,53E-01
s__Lactobacillus_gasseri	<= 24 vs > 24	5,65E-01	-1,05E-01	7,55E-01
s__Prevotella_bivia	<= 38 vs > 38	5,69E-01	4,53E-02	7,59E-01
s__Anaerococcus_tetradius	<= 25 vs > 25	5,71E-01	-7,22E-02	7,61E-01
s__Lactobacillus_gasseri	<= 21 vs > 21	5,73E-01	-1,64E-01	7,62E-01
s__Fusobacterium_nucleatum	<= 22 vs > 22	5,72E-01	-8,08E-02	7,62E-01
s__Bifidobacterium_dentium	<= 22 vs > 22	5,78E-01	8,87E-02	7,67E-01
s__Finegoldia_magna	<= 31 vs > 31	5,78E-01	3,09E-02	7,67E-01
s__Lactobacillus_vaginalis	<= 21 vs > 21	5,80E-01	1,77E-01	7,68E-01
g__Shuttleworthia	<= 24 vs > 24	5,80E-01	-6,44E-02	7,68E-01
s__Lactobacillus_jensenii	<= 36 vs > 36	5,82E-01	-3,79E-02	7,69E-01
s__Atopobium_vaginae	<= 30 vs > 30	5,83E-01	3,66E-02	7,70E-01
s__Bifidobacterium_dentium	<= 42 vs > 42	5,86E-01	-3,49E-02	7,73E-01
s__Dialister_micraerophilus	<= 29 vs > 29	5,88E-01	-5,35E-02	7,74E-01
f__Enterobacteriaceae	<= 30 vs > 30	5,88E-01	-4,00E-02	7,74E-01
s__Lactobacillus_jensenii	<= 34 vs > 34	5,96E-01	-3,66E-02	7,83E-01
s__Gardnerella_vaginalis	<= 21 vs > 21	6,01E-01	1,26E-01	7,89E-01
s__Atopobium_vaginae	<= 32 vs > 32	6,08E-01	3,03E-02	7,95E-01
s__Lactobacillus_vaginalis	<= 30 vs > 30	6,08E-01	5,05E-02	7,95E-01
s__Finegoldia_magna	<= 27 vs > 27	6,13E-01	3,75E-02	8,01E-01
s__Streptococcus_anginosus	<= 44 vs > 44	6,21E-01	-3,97E-02	8,10E-01
s__Anaerococcus_tetradius	<= 27 vs > 27	6,22E-01	-5,00E-02	8,11E-01
s__Prevotella_colorans	<= 23 vs > 23	6,25E-01	6,94E-02	8,14E-01
s__Lactobacillus_jensenii	<= 51 vs > 51	6,33E-01	-2,29E-01	8,22E-01
s__Megasphaera_lornae	<= 52 vs > 52	6,33E-01	3,79E-01	8,22E-01
s__Dialister_micraerophilus	<= 30 vs > 30	6,34E-01	-4,36E-02	8,23E-01
s__Bifidobacterium_breve	<= 37 vs > 37	6,42E-01	-3,15E-02	8,25E-01
s__Bifidobacterium_breve	<= 52 vs > 52	6,40E-01	-2,73E-01	8,25E-01
s__Coriobacteriales_bacterium	<= 21 vs > 21	6,42E-01	-1,34E-01	8,25E-01
s__Streptococcus_anginosus	<= 49 vs > 49	6,42E-01	-8,24E-02	8,25E-01
s__Anaerococcus_tetradius	<= 26 vs > 26	6,40E-01	-5,24E-02	8,25E-01
s__Sneathia_amnii	<= 52 vs > 52	6,40E-01	4,71E-01	8,25E-01
s__Sneathia_sanguinegens	<= 27 vs > 27	6,40E-01	6,01E-02	8,25E-01
f__Enterobacteriaceae	<= 23 vs > 23	6,38E-01	-7,95E-02	8,25E-01
s__Fusobacterium_nucleatum	<= 32 vs > 32	6,44E-01	2,15E-02	8,26E-01
s__Finegoldia_magna	<= 34 vs > 34	6,46E-01	-2,35E-02	8,26E-01
s__Finegoldia_magna	<= 39 vs > 39	6,47E-01	-2,45E-02	8,26E-01
s__Sneathia_amnii	<= 35 vs > 35	6,47E-01	3,93E-02	8,26E-01
f__Enterobacteriaceae	<= 31 vs > 31	6,51E-01	-3,13E-02	8,31E-01
s__Prevotella_amnii	<= 23 vs > 23	6,53E-01	9,74E-02	8,32E-01
f__Enterobacteriaceae	<= 44 vs > 44	6,54E-01	3,75E-02	8,32E-01
s__Sneathia_amnii	<= 51 vs > 51	6,54E-01	2,93E-01	8,32E-01
s__Finegoldia_magna	<= 42 vs > 42	6,58E-01	-2,72E-02	8,35E-01
s__Finegoldia_magna	<= 49 vs > 49	6,59E-01	8,00E-02	8,35E-01
s__Lactobacillus_crispatus	<= 36 vs > 36	6,67E-01	-1,81E-02	8,44E-01
f__Enterobacteriaceae	<= 21 vs > 21	6,67E-01	-1,10E-01	8,44E-01
s__Fusobacterium_nucleatum	<= 26 vs > 26	6,70E-01	-3,12E-02	8,47E-01
s__Lactobacillus_iners	<= 35 vs > 35	6,72E-01	-1,51E-02	8,47E-01
s__Lactobacillus_crispatus	<= 35 vs > 35	6,74E-01	-1,77E-02	8,50E-01
s__Bifidobacterium_dentium	<= 43 vs > 43	6,79E-01	-2,82E-02	8,50E-01
s__Gardnerella_vaginalis	<= 30 vs > 30	6,80E-01	-2,46E-02	8,50E-01
s__Prevotella_amnii	<= 30 vs > 30	6,81E-01	-4,22E-02	8,50E-01
s__Prevotella_colorans	<= 21 vs > 21	6,85E-01	8,45E-02	8,50E-01
s__Lactobacillus_gasseri	<= 22 vs > 22	6,86E-01	-1,02E-01	8,50E-01
s__Lactobacillus_iners	<= 30 vs > 30	6,77E-01	-1,73E-02	8,50E-01
s__Streptococcus_anginosus	<= 39 vs > 39	6,86E-01	2,53E-02	8,50E-01
s__Streptococcus_anginosus	<= 52 vs > 52	6,78E-01	2,86E-01	8,50E-01
s__Finegoldia_magna	<= 40 vs > 40	6,81E-01	-2,28E-02	8,50E-01
s__Anaerococcus_tetradius	<= 24 vs > 24	6,79E-01	-5,99E-02	8,50E-01
s__Megasphaera_lornae	<= 20 vs > 20	6,85E-01	1,78E-01	8,50E-01
s__Sneathia_sanguinegens	<= 50 vs > 50	6,86E-01	-1,85E-01	8,50E-01
f__Enterobacteriaceae	<= 43 vs > 43	6,83E-01	3,18E-02	8,50E-01
s__Lactobacillus_jensenii	<= 23 vs > 23	6,88E-01	-6,77E-02	8,50E-01
s__Tissierellia_bacterium	<= 51 vs > 51	6,88E-01	2,13E-01	8,50E-01
s__Gardnerella_vaginalis	<= 32 vs > 32	6,90E-01	-2,14E-02	8,51E-01
s__Prevotella_amnii	<= 31 vs > 31	6,94E-01	-3,80E-02	8,51E-01
s__Prevotella_colorans	<= 52 vs > 52	6,95E-01	2,12E-01	8,51E-01
s__Lactobacillus_gasseri	<= 29 vs > 29	6,95E-01	-4,29E-02	8,51E-01
s__Streptococcus_anginosus	<= 45 vs > 45	6,90E-01	-3,48E-02	8,51E-01
g__Shuttleworthia	<= 23 vs > 23	6,91E-01	5,18E-02	8,51E-01
s__Veillonella_montpellierensis	<= 50 vs > 50	6,94E-01	-1,19E-01	8,51E-01
s__Sneathia_sanguinegens	<= 51 vs > 51	6,94E-01	-2,47E-01	8,51E-01
s__Bifidobacterium_dentium	<= 27 vs > 27	6,98E-01	3,00E-02	8,52E-01
s__Bifidobacterium_dentium	<= 31 vs > 31	6,97E-01	-2,30E-02	8,52E-01
s__Gardnerella_vaginalis	<= 25 vs > 25	7,03E-01	3,78E-02	8,52E-01
s__Prevotella_colorans	<= 51 vs > 51	7,01E-01	-1,32E-01	8,52E-01
s__Prevotella_timonensis	<= 27 vs > 27	7,00E-01	4,63E-02	8,52E-01
s__Lactobacillus_iners	<= 25 vs > 25	7,02E-01	-2,53E-02	8,52E-01
s__Allisonella_histaminiformans	<= 23 vs > 23	7,01E-01	7,36E-02	8,52E-01
s__Fusobacterium_nucleatum	<= 31 vs > 31	6,97E-01	1,89E-02	8,52E-01
s__Sneathia_sanguinegens	<= 26 vs > 26	7,00E-01	5,43E-02	8,52E-01
s__Fusobacterium_nucleatum	<= 48 vs > 48	7,05E-01	-4,01E-02	8,53E-01
s__Bifidobacterium_dentium	<= 20 vs > 20	7,09E-01	-1,02E-01	8,58E-01
s__Lactobacillus_vaginalis	<= 28 vs > 28	7,12E-01	4,22E-02	8,60E-01
s__Gardnerella_vaginalis	<= 29 vs > 29	7,14E-01	-2,33E-02	8,61E-01
s__Sneathia_amnii	<= 23 vs > 23	7,14E-01	-8,16E-02	8,61E-01
s__Streptococcus_anginosus	<= 40 vs > 40	7,21E-01	2,32E-02	8,68E-01
s__Lactobacillus_vaginalis	<= 34 vs > 34	7,24E-01	2,97E-02	8,70E-01
s__Aerococcus_christensenii	<= 26 vs > 26	7,25E-01	-4,47E-02	8,71E-01
f__Enterobacteriaceae	<= 33 vs > 33	7,26E-01	2,22E-02	8,71E-01
s__Lactobacillus_gasseri	<= 30 vs > 30	7,29E-01	-3,52E-02	8,73E-01
s__Aerococcus_christensenii	<= 24 vs > 24	7,35E-01	-5,52E-02	8,74E-01
s__Aerococcus_christensenii	<= 35 vs > 35	7,35E-01	-2,57E-02	8,74E-01
s__Lactobacillus_crispatus	<= 22 vs > 22	7,32E-01	-4,63E-02	8,74E-01
s__Lactobacillus_iners	<= 33 vs > 33	7,34E-01	1,24E-02	8,74E-01
s__Sneathia_amnii	<= 32 vs > 32	7,33E-01	-3,08E-02	8,74E-01
s__Sneathia_sanguinegens	<= 30 vs > 30	7,31E-01	3,49E-02	8,74E-01
f__Enterobacteriaceae	<= 42 vs > 42	7,33E-01	2,50E-02	8,74E-01
s__Prevotella_bivia	<= 34 vs > 34	7,52E-01	2,48E-02	8,75E-01
s__Lactobacillus_crispatus	<= 20 vs > 20	7,46E-01	7,26E-02	8,75E-01
s__Lactobacillus_gasseri	<= 25 vs > 25	7,47E-01	-5,19E-02	8,75E-01
s__Lactobacillus_gasseri	<= 51 vs > 51	7,51E-01	-1,62E-01	8,75E-01
s__Lactobacillus_iners	<= 23 vs > 23	7,47E-01	-2,91E-02	8,75E-01
s__Lactobacillus_iners	<= 32 vs > 32	7,41E-01	1,24E-02	8,75E-01
s__Lactobacillus_iners	<= 37 vs > 37	7,49E-01	-1,15E-02	8,75E-01
s__Lactobacillus_jensenii	<= 26 vs > 26	7,49E-01	-3,47E-02	8,75E-01
s__Lactobacillus_vaginalis	<= 37 vs > 37	7,49E-01	2,68E-02	8,75E-01
s__Streptococcus_anginosus	<= 41 vs > 41	7,45E-01	2,21E-02	8,75E-01
s__Finegoldia_magna	<= 20 vs > 20	7,41E-01	8,14E-02	8,75E-01
s__Finegoldia_magna	<= 47 vs > 47	7,42E-01	3,30E-02	8,75E-01
s__Dialister_micraerophilus	<= 27 vs > 27	7,44E-01	3,77E-02	8,75E-01
s__Fusobacterium_nucleatum	<= 24 vs > 24	7,42E-01	-3,11E-02	8,75E-01
s__Sneathia_amnii	<= 26 vs > 26	7,53E-01	-4,42E-02	8,75E-01
s__Sneathia_sanguinegens	<= 23 vs > 23	7,50E-01	-6,95E-02	8,75E-01
f__Enterobacteriaceae	<= 25 vs > 25	7,53E-01	-3,79E-02	8,75E-01
f__Enterobacteriaceae	<= 47 vs > 47	7,48E-01	3,76E-02	8,75E-01
f__Enterobacteriaceae	<= 49 vs > 49	7,45E-01	5,99E-02	8,75E-01
s__Sneathia_sanguinegens	<= 29 vs > 29	7,55E-01	-3,41E-02	8,77E-01
s__Fusobacterium_nucleatum	<= 28 vs > 28	7,57E-01	1,84E-02	8,78E-01
s__Dialister_micraerophilus	<= 25 vs > 25	7,58E-01	4,39E-02	8,78E-01
s__Lactobacillus_jensenii	<= 29 vs > 29	7,61E-01	-2,60E-02	8,80E-01
f__Enterobacteriaceae	<= 48 vs > 48	7,63E-01	4,29E-02	8,81E-01
s__Lactobacillus_iners	<= 34 vs > 34	7,64E-01	-1,07E-02	8,82E-01
s__Lactobacillus_jensenii	<= 25 vs > 25	7,64E-01	-3,72E-02	8,82E-01
s__Lactobacillus_iners	<= 51 vs > 51	7,69E-01	-7,05E-02	8,84E-01
s__Finegoldia_magna	<= 33 vs > 33	7,69E-01	1,53E-02	8,84E-01
s__Finegoldia_magna	<= 37 vs > 37	7,68E-01	1,51E-02	8,84E-01
s__Bifidobacterium_dentium	<= 49 vs > 49	7,70E-01	4,94E-02	8,84E-01
s__Bifidobacterium_dentium	<= 47 vs > 47	7,72E-01	-2,82E-02	8,85E-01
s__Finegoldia_magna	<= 45 vs > 45	7,72E-01	-2,20E-02	8,85E-01
s__Veillonella_montpellierensis	<= 51 vs > 51	7,73E-01	1,34E-01	8,85E-01
s__Dialister_micraerophilus	<= 31 vs > 31	7,75E-01	-2,45E-02	8,86E-01
s__Sneathia_sanguinegens	<= 28 vs > 28	7,77E-01	-3,33E-02	8,88E-01
s__Lactobacillus_jensenii	<= 35 vs > 35	7,80E-01	1,92E-02	8,90E-01
s__Bifidobacterium_dentium	<= 45 vs > 45	7,81E-01	-2,14E-02	8,90E-01
s__Aerococcus_christensenii	<= 25 vs > 25	7,82E-01	4,00E-02	8,90E-01
s__Prevotella_amnii	<= 26 vs > 26	7,84E-01	3,90E-02	8,91E-01
s__Megasphaera_lornae	<= 22 vs > 22	7,86E-01	-7,38E-02	8,92E-01
s__Prevotella_timonensis	<= 28 vs > 28	7,88E-01	2,97E-02	8,94E-01
