Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Lactobacillus_gasseri	PS_HYPERTENSION	3,62E-01	2,88E-01	1,26E+00	2,09E-01	5296	6,16E-01
s__Lactobacillus_iners	PARITY1	8,45E-02	6,74E-02	1,25E+00	2,10E-01	3122	6,16E-01
s__Atopobium_vaginae	BIRTH_CONTROL2	-2,80E-01	2,25E-01	-1,25E+00	2,13E-01	889	6,24E-01
s__Aerococcus_christensenii	SYM_ABDPAIN	-1,42E-01	1,14E-01	-1,24E+00	2,14E-01	5321	6,25E-01
s__Aerococcus_christensenii	ADVERSE_PREGNANCY2	1,91E-01	1,56E-01	1,22E+00	2,21E-01	3519	6,27E-01
s__Lactobacillus_iners	AGE	-3,34E-03	2,74E-03	-1,22E+00	2,22E-01	5437	6,27E-01
s__Aerococcus_christensenii	BIRTH_CONTROL1	-2,28E-01	1,86E-01	-1,23E+00	2,19E-01	1275	6,27E-01
s__Lactobacillus_jensenii	BIRTH_CONTROL3	-1,37E-01	1,11E-01	-1,24E+00	2,16E-01	3679	6,27E-01
s__Aerococcus_christensenii	BIRTH_CONTROL3	-1,53E-01	1,24E-01	-1,23E+00	2,17E-01	3679	6,27E-01
s__Bifidobacterium_breve	EXA_CERBLE	-1,66E-01	1,36E-01	-1,22E+00	2,21E-01	4782	6,27E-01
s__Gardnerella_vaginalis	EXA_CERECT	1,12E-01	9,09E-02	1,24E+00	2,17E-01	3625	6,27E-01
s__Tissierellia_bacterium	EXA_ORDOR	2,04E-01	1,65E-01	1,23E+00	2,19E-01	4810	6,27E-01
s__Streptococcus_anginosus	EXA_ORDOR	1,69E-01	1,37E-01	1,23E+00	2,18E-01	4810	6,27E-01
s__Dialister_micraerophilus	GRAVITY2	-1,92E-01	1,56E-01	-1,23E+00	2,19E-01	3991	6,27E-01
s__Fusobacterium_nucleatum	INCOME1	-1,02E-01	8,27E-02	-1,24E+00	2,15E-01	2471	6,27E-01
s__Lactobacillus_jensenii	MENSTRUAL_PHASE_REG2	2,42E-01	1,98E-01	1,22E+00	2,21E-01	3657	6,27E-01
s__Finegoldia_magna	SYM_BLEDDING	-1,32E-01	1,07E-01	-1,23E+00	2,20E-01	5298	6,27E-01
s__Finegoldia_magna	SYM_URIOSP	9,83E-02	8,02E-02	1,23E+00	2,20E-01	5300	6,27E-01
s__Lactobacillus_gasseri	WAISTLINE	1,18E-02	9,63E-03	1,22E+00	2,22E-01	1975	6,27E-01
s__Allisonella_histaminiformans	GRAVITY2	-1,89E-01	1,56E-01	-1,21E+00	2,24E-01	3991	6,30E-01
f__Enterobacteriaceae	INCOME2	-1,11E-01	9,10E-02	-1,21E+00	2,25E-01	2656	6,30E-01
s__Sneathia_sanguinegens	WAISTLINE	1,24E-02	1,02E-02	1,22E+00	2,24E-01	1975	6,30E-01
s__Mageeibacillus_indolicus	PS_HYPERTENSION	3,41E-01	2,81E-01	1,21E+00	2,26E-01	5296	6,31E-01
s__Atopobium_vaginae	SMOKING_CAT	1,89E-01	1,56E-01	1,21E+00	2,26E-01	5246	6,31E-01
s__Coriobacteriales_bacterium	SYM_ABDPAIN	-1,51E-01	1,24E-01	-1,21E+00	2,25E-01	5321	6,31E-01
s__Prevotella_amnii	EXA_CERDIS	-2,23E-01	1,85E-01	-1,21E+00	2,28E-01	4864	6,33E-01
s__Lactobacillus_vaginalis	SMOKING_CAT	-2,82E-01	2,33E-01	-1,21E+00	2,28E-01	5246	6,33E-01
s__Finegoldia_magna	ADVERSE_PREGNANCY2	-1,30E-01	1,10E-01	-1,19E+00	2,34E-01	3519	6,36E-01
s__Ureaplasma_parvum	BIRTH_CONTROL1	2,18E-01	1,83E-01	1,19E+00	2,34E-01	1275	6,36E-01
g__Shuttleworthia	DRUG_ESTROGEN	-3,46E-01	2,90E-01	-1,19E+00	2,33E-01	4825	6,36E-01
s__Megasphaera_lornae	EDU_CAT1	1,26E-01	1,06E-01	1,20E+00	2,32E-01	4412	6,36E-01
s__Lactobacillus_crispatus	EXA_CERDIS	-1,11E-01	9,32E-02	-1,19E+00	2,33E-01	4864	6,36E-01
s__Gardnerella_vaginalis	EXA_CERDIS	1,34E-01	1,13E-01	1,19E+00	2,34E-01	4864	6,36E-01
s__Lactobacillus_gasseri	EXA_ORDOR	-2,17E-01	1,82E-01	-1,19E+00	2,32E-01	4810	6,36E-01
s__Megasphaera_lornae	MENSTRUAL_PHASE_REG2	3,06E-01	2,57E-01	1,19E+00	2,33E-01	3657	6,36E-01
s__Veillonella_montpellierensis	SYM_BLEDDING	1,54E-01	1,29E-01	1,19E+00	2,33E-01	5298	6,36E-01
f__Enterobacteriaceae	WAISTLINE	6,27E-03	5,23E-03	1,20E+00	2,31E-01	1975	6,36E-01
s__Lactobacillus_jensenii	EDU_CAT1	-9,72E-02	8,21E-02	-1,18E+00	2,37E-01	4412	6,42E-01
s__Bifidobacterium_breve	MENSTRUAL_REGULAR	1,46E-01	1,24E-01	1,18E+00	2,38E-01	4899	6,44E-01
s__Lactobacillus_iners	SEX72	1,61E-01	1,37E-01	1,18E+00	2,39E-01	4976	6,44E-01
s__Dialister_micraerophilus	EDU_CAT1	1,13E-01	9,59E-02	1,18E+00	2,39E-01	4412	6,44E-01
s__Bifidobacterium_dentium	EXA_CERBLE	-1,26E-01	1,07E-01	-1,18E+00	2,40E-01	4782	6,45E-01
s__Gardnerella_vaginalis	EXA_CERBLE	1,34E-01	1,14E-01	1,17E+00	2,41E-01	4782	6,45E-01
s__Megasphaera_lornae	MENSTRUAL_PHASE_REG1	1,29E-01	1,10E-01	1,17E+00	2,41E-01	3657	6,45E-01
s__Lactobacillus_vaginalis	WAISTLINE	-1,20E-02	1,02E-02	-1,17E+00	2,41E-01	1975	6,45E-01
s__Bifidobacterium_breve	MENSTRUAL_PHASE_REG1	-9,57E-02	8,18E-02	-1,17E+00	2,42E-01	3657	6,46E-01
s__Finegoldia_magna	ADVERSE_PREGNANCY1	-1,05E-01	9,14E-02	-1,15E+00	2,49E-01	3704	6,47E-01
s__Prevotella_timonensis	BIRTH_CONTROL1	-2,39E-01	2,06E-01	-1,16E+00	2,47E-01	1275	6,47E-01
s__Lactobacillus_iners	BIRTH_CONTROL3	6,95E-02	6,10E-02	1,14E+00	2,54E-01	3679	6,47E-01
s__Bifidobacterium_dentium	DRUG_ANTIBIOTICS	2,44E-01	2,12E-01	1,15E+00	2,51E-01	4828	6,47E-01
s__Lactobacillus_iners	DRUG_ESTROGEN	-2,26E-01	1,99E-01	-1,13E+00	2,57E-01	4825	6,47E-01
s__Lactobacillus_crispatus	DRUG_GLULIP	2,66E-01	2,34E-01	1,14E+00	2,55E-01	4827	6,47E-01
s__Fusobacterium_nucleatum	DRUG_GLULIP	2,80E-01	2,43E-01	1,15E+00	2,49E-01	4827	6,47E-01
s__Mageeibacillus_indolicus	EDU_CAT1	1,13E-01	9,92E-02	1,14E+00	2,56E-01	4412	6,47E-01
f__Enterobacteriaceae	EDU_CAT2	1,75E-01	1,51E-01	1,16E+00	2,48E-01	2506	6,47E-01
s__Lactobacillus_vaginalis	EXA_CERBLE	-2,10E-01	1,85E-01	-1,14E+00	2,56E-01	4782	6,47E-01
s__Sneathia_sanguinegens	EXA_CERECT	1,65E-01	1,44E-01	1,14E+00	2,53E-01	3625	6,47E-01
s__Atopobium_vaginae	EXA_CERECT	1,15E-01	9,90E-02	1,16E+00	2,47E-01	3625	6,47E-01
f__Enterobacteriaceae	EXA_ORDOR	-1,22E-01	1,07E-01	-1,15E+00	2,51E-01	4810	6,47E-01
s__Gardnerella_vaginalis	INCOME1	1,00E-01	8,87E-02	1,13E+00	2,58E-01	2471	6,47E-01
s__Dialister_micraerophilus	INCOME1	-1,57E-01	1,35E-01	-1,16E+00	2,46E-01	2471	6,47E-01
s__Anaerococcus_tetradius	INCOME1	-1,32E-01	1,14E-01	-1,16E+00	2,46E-01	2471	6,47E-01
s__Bifidobacterium_dentium	PARITY1	-1,13E-01	1,00E-01	-1,13E+00	2,57E-01	3122	6,47E-01
s__Anaerococcus_tetradius	PARITY1	-1,43E-01	1,24E-01	-1,16E+00	2,48E-01	3122	6,47E-01
s__Lactobacillus_gasseri	PS_DIABETES	3,71E-01	3,27E-01	1,13E+00	2,57E-01	5297	6,47E-01
s__Aerococcus_christensenii	PS_HYPERTENSION	3,02E-01	2,60E-01	1,16E+00	2,46E-01	5296	6,47E-01
s__Veillonella_montpellierensis	PS_UTI	1,34E-01	1,18E-01	1,14E+00	2,55E-01	5217	6,47E-01
s__Finegoldia_magna	SEX72	2,31E-01	2,01E-01	1,15E+00	2,50E-01	4976	6,47E-01
f__Enterobacteriaceae	SEX72	2,08E-01	1,83E-01	1,14E+00	2,56E-01	4976	6,47E-01
s__Lactobacillus_iners	SMOKING_CAT	1,15E-01	1,00E-01	1,15E+00	2,50E-01	5246	6,47E-01
s__Finegoldia_magna	SMOKING_CAT	-1,69E-01	1,47E-01	-1,15E+00	2,50E-01	5246	6,47E-01
s__Lactobacillus_iners	SYM_ABDPAIN	6,30E-02	5,55E-02	1,13E+00	2,57E-01	5321	6,47E-01
s__Prevotella_colorans	SYM_BLEDDING	1,33E-01	1,17E-01	1,14E+00	2,55E-01	5298	6,47E-01
f__Enterobacteriaceae	SYM_BLEDDING	1,14E-01	9,88E-02	1,15E+00	2,50E-01	5298	6,47E-01
s__Lactobacillus_jensenii	SYM_PAINBLE	1,41E-01	1,22E-01	1,15E+00	2,49E-01	5305	6,47E-01
s__Streptococcus_anginosus	SYM_YYD	1,38E-01	1,22E-01	1,14E+00	2,56E-01	5198	6,47E-01
s__Tissierellia_bacterium	ADVERSE_PREGNANCY2	-1,74E-01	1,54E-01	-1,13E+00	2,60E-01	3519	6,51E-01
s__Lactobacillus_iners	INCOME1	7,09E-02	6,30E-02	1,13E+00	2,60E-01	2471	6,52E-01
f__Enterobacteriaceae	DRUG_ESTROGEN	2,96E-01	2,64E-01	1,12E+00	2,61E-01	4825	6,52E-01
g__Shuttleworthia	INCOME1	-9,65E-02	8,59E-02	-1,12E+00	2,61E-01	2471	6,52E-01
s__Tissierellia_bacterium	BIRTH_CONTROL2	-3,75E-01	3,35E-01	-1,12E+00	2,63E-01	889	6,54E-01
s__Prevotella_colorans	SYM_PAINBLE	1,20E-01	1,08E-01	1,12E+00	2,63E-01	5305	6,54E-01
s__Lactobacillus_iners	ADVERSE_PREGNANCY2	8,46E-02	7,57E-02	1,12E+00	2,64E-01	3519	6,55E-01
s__Sneathia_sanguinegens	AGE	7,06E-03	6,35E-03	1,11E+00	2,66E-01	5437	6,56E-01
s__Anaerococcus_tetradius	AGE	5,66E-03	5,11E-03	1,11E+00	2,68E-01	5437	6,56E-01
s__Ureaplasma_parvum	BIRTH_CONTROL2	3,52E-01	3,18E-01	1,11E+00	2,68E-01	889	6,56E-01
s__Gardnerella_vaginalis	BMI	1,02E-02	9,24E-03	1,11E+00	2,68E-01	5437	6,56E-01
s__Megasphaera_lornae	DRUG_ANTIBIOTICS	3,81E-01	3,43E-01	1,11E+00	2,66E-01	4828	6,56E-01
s__Finegoldia_magna	EXA_ORDOR	1,31E-01	1,19E-01	1,11E+00	2,68E-01	4810	6,56E-01
s__Prevotella_timonensis	GRAVITY1	-1,92E-01	1,73E-01	-1,11E+00	2,66E-01	1854	6,56E-01
s__Megasphaera_hutchinsoni	INCOME2	1,53E-01	1,38E-01	1,11E+00	2,68E-01	2656	6,56E-01
s__Atopobium_vaginae	DRUG_ANTIBIOTICS	-2,48E-01	2,24E-01	-1,10E+00	2,69E-01	4828	6,56E-01
s__Atopobium_vaginae	EXA_VAGWAL	1,68E-01	1,52E-01	1,11E+00	2,69E-01	4793	6,56E-01
s__Prevotella_amnii	BIRTH_CONTROL2	4,29E-01	3,89E-01	1,10E+00	2,70E-01	889	6,56E-01
s__Sneathia_sanguinegens	SEX72	3,48E-01	3,18E-01	1,09E+00	2,75E-01	4976	6,64E-01
g__Shuttleworthia	SEX72	2,22E-01	2,03E-01	1,09E+00	2,74E-01	4976	6,64E-01
s__Lactobacillus_gasseri	EDU_CAT2	-2,74E-01	2,52E-01	-1,09E+00	2,76E-01	2506	6,67E-01
s__Anaerococcus_tetradius	EDU_CAT2	2,14E-01	1,97E-01	1,09E+00	2,78E-01	2506	6,69E-01
s__Tissierellia_bacterium	WAISTLINE	1,01E-02	9,26E-03	1,09E+00	2,78E-01	1975	6,69E-01
s__Megasphaera_hutchinsoni	EXA_ORDOR	1,77E-01	1,64E-01	1,08E+00	2,79E-01	4810	6,70E-01
s__Lactobacillus_iners	DRUG_GLULIP	-2,12E-01	1,97E-01	-1,08E+00	2,81E-01	4827	6,73E-01
s__Sneathia_amnii	PS_HYPERTENSION	3,11E-01	2,88E-01	1,08E+00	2,81E-01	5296	6,73E-01
s__Megasphaera_hutchinsoni	SYM_ITCHING	9,88E-02	9,19E-02	1,08E+00	2,82E-01	5347	6,74E-01
s__Gardnerella_vaginalis	WAISTLINE	6,53E-03	6,08E-03	1,08E+00	2,83E-01	1975	6,74E-01
s__Veillonella_montpellierensis	BIRTH_CONTROL3	-1,12E-01	1,05E-01	-1,07E+00	2,83E-01	3679	6,74E-01
s__Streptococcus_anginosus	GRAVITY1	1,40E-01	1,30E-01	1,07E+00	2,84E-01	1854	6,74E-01
s__Anaerococcus_tetradius	PARITY2	-1,48E-01	1,38E-01	-1,07E+00	2,84E-01	2832	6,74E-01
s__Streptococcus_anginosus	DRUG_ESTROGEN	3,67E-01	3,44E-01	1,07E+00	2,85E-01	4825	6,75E-01
s__Lactobacillus_jensenii	SYM_BLEDDING	-1,41E-01	1,33E-01	-1,06E+00	2,88E-01	5298	6,81E-01
s__Bifidobacterium_breve	BMI	1,21E-02	1,14E-02	1,06E+00	2,89E-01	5437	6,81E-01
s__Ureaplasma_parvum	ADVERSE_PREGNANCY1	1,32E-01	1,25E-01	1,06E+00	2,90E-01	3704	6,82E-01
s__Fusobacterium_nucleatum	SYM_URIOSP	7,23E-02	6,82E-02	1,06E+00	2,90E-01	5300	6,82E-01
s__Mageeibacillus_indolicus	SYM_YYD	1,68E-01	1,59E-01	1,06E+00	2,91E-01	5198	6,82E-01
s__Prevotella_amnii	PS_UTI	-1,66E-01	1,58E-01	-1,05E+00	2,92E-01	5217	6,83E-01
s__Prevotella_amnii	SYM_YYD	1,77E-01	1,68E-01	1,05E+00	2,93E-01	5198	6,84E-01
f__Enterobacteriaceae	PS_DIABETES	2,05E-01	1,95E-01	1,05E+00	2,94E-01	5297	6,86E-01
f__Enterobacteriaceae	DRUG_GLULIP	2,73E-01	2,61E-01	1,05E+00	2,96E-01	4827	6,86E-01
s__Veillonella_montpellierensis	ETHINIC	-1,74E-01	1,67E-01	-1,04E+00	2,96E-01	5133	6,86E-01
s__Lactobacillus_vaginalis	GRAVITY2	-1,76E-01	1,68E-01	-1,05E+00	2,95E-01	3991	6,86E-01
f__Enterobacteriaceae	GRAVITY2	-1,03E-01	9,83E-02	-1,04E+00	2,97E-01	3991	6,86E-01
s__Prevotella_amnii	MENSTRUAL_PHASE_REG3	-1,15E-01	1,10E-01	-1,05E+00	2,96E-01	3657	6,86E-01
s__Mageeibacillus_indolicus	BIRTH_CONTROL1	-2,15E-01	2,06E-01	-1,04E+00	2,98E-01	1275	6,87E-01
s__Gardnerella_vaginalis	SEX_PARTNER_CAT	-1,64E-01	1,58E-01	-1,04E+00	2,98E-01	5165	6,87E-01
s__Dialister_micraerophilus	BIRTH_CONTROL1	-2,08E-01	2,00E-01	-1,04E+00	2,99E-01	1275	6,88E-01
s__Lactobacillus_iners	PARITY2	7,56E-02	7,28E-02	1,04E+00	3,00E-01	2832	6,88E-01
s__Veillonella_montpellierensis	EXA_CERECT	1,16E-01	1,12E-01	1,03E+00	3,01E-01	3625	6,89E-01
s__Lactobacillus_iners	MENSTRUAL_REGULAR	7,24E-02	7,01E-02	1,03E+00	3,01E-01	4899	6,89E-01
s__Atopobium_vaginae	SYM_ABDPAIN	-8,93E-02	8,65E-02	-1,03E+00	3,02E-01	5321	6,89E-01
f__Enterobacteriaceae	BIRTH_CONTROL1	-1,30E-01	1,26E-01	-1,03E+00	3,03E-01	1275	6,91E-01
s__Finegoldia_magna	GRAVITY1	1,19E-01	1,16E-01	1,03E+00	3,05E-01	1854	6,92E-01
s__Sneathia_sanguinegens	PARITY1	-1,56E-01	1,52E-01	-1,03E+00	3,05E-01	3122	6,92E-01
s__Lactobacillus_gasseri	PARITY2	1,72E-01	1,67E-01	1,03E+00	3,05E-01	2832	6,92E-01
s__Coriobacteriales_bacterium	MENSTRUAL_REGULAR	-1,61E-01	1,57E-01	-1,02E+00	3,06E-01	4899	6,93E-01
s__Lactobacillus_jensenii	SYM_YYD	-1,33E-01	1,30E-01	-1,02E+00	3,06E-01	5198	6,93E-01
s__Megasphaera_hutchinsoni	BMI	1,34E-02	1,31E-02	1,02E+00	3,08E-01	5437	6,95E-01
s__Anaerococcus_tetradius	SYM_URIOSP	-1,03E-01	1,01E-01	-1,02E+00	3,08E-01	5300	6,95E-01
s__Lactobacillus_gasseri	DRUG_ANTIBIOTICS	3,33E-01	3,28E-01	1,02E+00	3,10E-01	4828	6,95E-01
f__Enterobacteriaceae	SYM_YYD	9,87E-02	9,70E-02	1,02E+00	3,09E-01	5198	6,95E-01
s__Prevotella_bivia	WAISTLINE	-9,55E-03	9,40E-03	-1,02E+00	3,10E-01	1975	6,95E-01
s__Lactobacillus_vaginalis	ADVERSE_PREGNANCY1	-1,47E-01	1,47E-01	-1,01E+00	3,14E-01	3704	6,98E-01
s__Allisonella_histaminiformans	BIRTH_CONTROL1	-2,07E-01	2,05E-01	-1,01E+00	3,13E-01	1275	6,98E-01
s__Veillonella_montpellierensis	BIRTH_CONTROL2	-3,03E-01	3,01E-01	-1,01E+00	3,14E-01	889	6,98E-01
s__Mageeibacillus_indolicus	SYM_ABDPAIN	-1,25E-01	1,24E-01	-1,01E+00	3,13E-01	5321	6,98E-01
f__Enterobacteriaceae	SYM_ITCHING	-6,21E-02	6,16E-02	-1,01E+00	3,14E-01	5347	6,98E-01
s__Atopobium_vaginae	PARITY2	1,13E-01	1,13E-01	1,00E+00	3,18E-01	2832	7,03E-01
s__Aerococcus_christensenii	SEX72	2,83E-01	2,83E-01	1,00E+00	3,17E-01	4976	7,03E-01
f__Enterobacteriaceae	INCOME1	-8,58E-02	8,63E-02	-9,94E-01	3,20E-01	2471	7,07E-01
s__Lactobacillus_gasseri	PARITY1	1,49E-01	1,49E-01	9,94E-01	3,20E-01	3122	7,07E-01
s__Atopobium_vaginae	SYM_YYD	1,10E-01	1,11E-01	9,91E-01	3,22E-01	5198	7,09E-01
s__Lactobacillus_jensenii	BIRTH_CONTROL2	-2,80E-01	2,84E-01	-9,86E-01	3,25E-01	889	7,13E-01
s__Ureaplasma_parvum	EDU_CAT1	8,63E-02	8,77E-02	9,85E-01	3,25E-01	4412	7,13E-01
s__Sneathia_sanguinegens	SYM_URIOSP	1,23E-01	1,26E-01	9,79E-01	3,28E-01	5300	7,18E-01
s__Streptococcus_anginosus	AGE	4,54E-03	4,66E-03	9,75E-01	3,30E-01	5437	7,20E-01
f__Enterobacteriaceae	EXA_CERECT	-7,61E-02	7,80E-02	-9,75E-01	3,29E-01	3625	7,20E-01
s__Prevotella_colorans	PS_DIABETES	2,24E-01	2,30E-01	9,74E-01	3,30E-01	5297	7,20E-01
s__Lactobacillus_gasseri	ADVERSE_PREGNANCY1	1,39E-01	1,43E-01	9,70E-01	3,32E-01	3704	7,23E-01
s__Tissierellia_bacterium	EXA_CERECT	1,26E-01	1,30E-01	9,69E-01	3,32E-01	3625	7,23E-01
s__Sneathia_sanguinegens	SYM_ITCHING	1,01E-01	1,05E-01	9,68E-01	3,33E-01	5347	7,23E-01
s__Bifidobacterium_dentium	GRAVITY2	-9,97E-02	1,03E-01	-9,64E-01	3,35E-01	3991	7,23E-01
s__Gardnerella_vaginalis	PS_DIABETES	-2,00E-01	2,07E-01	-9,64E-01	3,35E-01	5297	7,23E-01
s__Dialister_micraerophilus	SEX72	2,87E-01	2,97E-01	9,65E-01	3,35E-01	4976	7,23E-01
s__Bifidobacterium_dentium	SYM_ITCHING	-6,30E-02	6,52E-02	-9,67E-01	3,34E-01	5347	7,23E-01
s__Veillonella_montpellierensis	BIRTH_CONTROL1	1,66E-01	1,74E-01	9,53E-01	3,41E-01	1275	7,33E-01
s__Streptococcus_anginosus	PARITY1	1,05E-01	1,10E-01	9,52E-01	3,41E-01	3122	7,33E-01
s__Finegoldia_magna	BMI	9,01E-03	9,49E-03	9,49E-01	3,43E-01	5437	7,33E-01
s__Aerococcus_christensenii	EDU_CAT2	-2,17E-01	2,29E-01	-9,49E-01	3,43E-01	2506	7,33E-01
s__Lactobacillus_jensenii	EXA_CERDIS	1,35E-01	1,42E-01	9,49E-01	3,43E-01	4864	7,33E-01
s__Streptococcus_anginosus	DRUG_ANTIBIOTICS	-2,35E-01	2,49E-01	-9,44E-01	3,45E-01	4828	7,37E-01
s__Sneathia_sanguinegens	ADVERSE_PREGNANCY1	1,38E-01	1,46E-01	9,42E-01	3,46E-01	3704	7,37E-01
s__Megasphaera_lornae	BMI	1,43E-02	1,52E-02	9,41E-01	3,47E-01	5437	7,38E-01
s__Fusobacterium_nucleatum	BIRTH_CONTROL2	1,82E-01	1,94E-01	9,38E-01	3,49E-01	889	7,38E-01
g__Shuttleworthia	EXA_ORDOR	1,12E-01	1,20E-01	9,37E-01	3,49E-01	4810	7,38E-01
s__Lactobacillus_crispatus	SEX72	-1,54E-01	1,64E-01	-9,36E-01	3,49E-01	4976	7,38E-01
s__Prevotella_colorans	SYM_YYD	1,07E-01	1,14E-01	9,37E-01	3,49E-01	5198	7,38E-01
s__Prevotella_bivia	ALCOHOL_CAT	-8,80E-02	9,47E-02	-9,29E-01	3,53E-01	5279	7,40E-01
s__Anaerococcus_tetradius	BIRTH_CONTROL1	-1,61E-01	1,73E-01	-9,30E-01	3,53E-01	1275	7,40E-01
s__Lactobacillus_gasseri	GRAVITY1	1,62E-01	1,74E-01	9,27E-01	3,54E-01	1854	7,40E-01
s__Finegoldia_magna	MENSTRUAL_REGULAR	9,45E-02	1,02E-01	9,27E-01	3,54E-01	4899	7,40E-01
s__Mageeibacillus_indolicus	PARITY1	1,38E-01	1,49E-01	9,27E-01	3,54E-01	3122	7,40E-01
s__Lactobacillus_crispatus	PS_UTI	7,31E-02	7,90E-02	9,26E-01	3,54E-01	5217	7,40E-01
s__Prevotella_timonensis	SEX72	2,83E-01	3,06E-01	9,26E-01	3,54E-01	4976	7,40E-01
s__Sneathia_amnii	SYM_BLEDDING	1,55E-01	1,66E-01	9,33E-01	3,51E-01	5298	7,40E-01
s__Prevotella_amnii	PS_HYPERTENSION	2,76E-01	2,99E-01	9,24E-01	3,55E-01	5296	7,41E-01
s__Atopobium_vaginae	DRUG_GLULIP	2,81E-01	3,06E-01	9,18E-01	3,59E-01	4827	7,46E-01
s__Prevotella_colorans	SEX72	2,01E-01	2,20E-01	9,16E-01	3,60E-01	4976	7,47E-01
s__Sneathia_amnii	BIRTH_CONTROL1	-1,97E-01	2,15E-01	-9,13E-01	3,62E-01	1275	7,48E-01
s__Lactobacillus_crispatus	ETHINIC	-1,03E-01	1,14E-01	-9,10E-01	3,63E-01	5133	7,48E-01
s__Prevotella_amnii	MENSTRUAL_PHASE_REG1	1,00E-01	1,10E-01	9,10E-01	3,63E-01	3657	7,48E-01
s__Prevotella_bivia	SEX72	2,68E-01	2,95E-01	9,10E-01	3,63E-01	4976	7,48E-01
s__Lactobacillus_jensenii	MENSTRUAL_PHASE_REG3	7,62E-02	8,40E-02	9,08E-01	3,64E-01	3657	7,50E-01
s__Dialister_micraerophilus	ADVERSE_PREGNANCY1	1,22E-01	1,36E-01	9,02E-01	3,67E-01	3704	7,51E-01
s__Lactobacillus_vaginalis	ALCOHOL_CAT	9,30E-02	1,03E-01	9,00E-01	3,68E-01	5279	7,51E-01
s__Fusobacterium_nucleatum	ALCOHOL_CAT	5,00E-02	5,56E-02	8,99E-01	3,69E-01	5279	7,51E-01
s__Mageeibacillus_indolicus	DRUG_ANTIBIOTICS	-2,92E-01	3,23E-01	-9,02E-01	3,67E-01	4828	7,51E-01
g__Shuttleworthia	ETHINIC	1,26E-01	1,39E-01	9,05E-01	3,65E-01	5133	7,51E-01
s__Lactobacillus_gasseri	INCOME2	-1,36E-01	1,51E-01	-9,04E-01	3,66E-01	2656	7,51E-01
s__Sneathia_sanguinegens	PARITY2	-1,56E-01	1,73E-01	-9,01E-01	3,68E-01	2832	7,51E-01
s__Bifidobacterium_breve	BIRTH_CONTROL2	-2,36E-01	2,63E-01	-8,98E-01	3,69E-01	889	7,51E-01
s__Lactobacillus_iners	PS_UTI	-5,96E-02	6,66E-02	-8,96E-01	3,70E-01	5217	7,52E-01
s__Bifidobacterium_breve	SYM_PAINBLE	1,06E-01	1,18E-01	8,95E-01	3,71E-01	5305	7,52E-01
s__Lactobacillus_jensenii	AGE	4,46E-03	5,01E-03	8,91E-01	3,73E-01	5437	7,53E-01
s__Finegoldia_magna	DRUG_ANTIBIOTICS	-1,90E-01	2,14E-01	-8,90E-01	3,73E-01	4828	7,53E-01
s__Atopobium_vaginae	GRAVITY1	1,08E-01	1,22E-01	8,89E-01	3,74E-01	1854	7,53E-01
s__Prevotella_bivia	PS_HYPERTENSION	2,41E-01	2,71E-01	8,89E-01	3,74E-01	5296	7,53E-01
s__Bifidobacterium_dentium	SYM_BLEDDING	-9,35E-02	1,05E-01	-8,92E-01	3,73E-01	5298	7,53E-01
s__Lactobacillus_gasseri	DRUG_GLULIP	3,97E-01	4,47E-01	8,87E-01	3,75E-01	4827	7,53E-01
s__Prevotella_bivia	SMOKING_CAT	1,90E-01	2,14E-01	8,86E-01	3,76E-01	5246	7,54E-01
s__Streptococcus_anginosus	ADVERSE_PREGNANCY1	-9,24E-02	1,05E-01	-8,81E-01	3,78E-01	3704	7,54E-01
s__Tissierellia_bacterium	DRUG_ANTIBIOTICS	-2,62E-01	2,97E-01	-8,80E-01	3,79E-01	4828	7,54E-01
g__Shuttleworthia	INCOME2	8,68E-02	9,89E-02	8,77E-01	3,80E-01	2656	7,54E-01
s__Allisonella_histaminiformans	PARITY1	-1,25E-01	1,41E-01	-8,82E-01	3,78E-01	3122	7,54E-01
s__Finegoldia_magna	PS_DIABETES	-1,87E-01	2,11E-01	-8,83E-01	3,77E-01	5297	7,54E-01
s__Megasphaera_lornae	PS_HYPERTENSION	2,62E-01	2,98E-01	8,77E-01	3,80E-01	5296	7,54E-01
s__Atopobium_vaginae	SEX_PARTNER_CAT	1,49E-01	1,70E-01	8,79E-01	3,80E-01	5165	7,54E-01
s__Sneathia_amnii	SEX72	2,77E-01	3,15E-01	8,79E-01	3,79E-01	4976	7,54E-01
s__Prevotella_colorans	ADVERSE_PREGNANCY1	8,63E-02	9,93E-02	8,69E-01	3,85E-01	3704	7,56E-01
s__Lactobacillus_iners	ADVERSE_PREGNANCY1	5,47E-02	6,29E-02	8,70E-01	3,85E-01	3704	7,56E-01
s__Coriobacteriales_bacterium	DRUG_ESTROGEN	-3,89E-01	4,47E-01	-8,70E-01	3,84E-01	4825	7,56E-01
s__Lactobacillus_vaginalis	EXA_VAGWAL	-1,99E-01	2,28E-01	-8,73E-01	3,83E-01	4793	7,56E-01
s__Fusobacterium_nucleatum	PS_UTI	7,22E-02	8,30E-02	8,70E-01	3,84E-01	5217	7,56E-01
s__Megasphaera_lornae	SYM_PAINBLE	1,38E-01	1,58E-01	8,74E-01	3,82E-01	5305	7,56E-01
s__Coriobacteriales_bacterium	BIRTH_CONTROL2	-3,16E-01	3,70E-01	-8,53E-01	3,94E-01	889	7,57E-01
